objectid,category,ghgrp_id,landfill_name,county_state,landfill_owner_org,year_landfill_opened,landfill_closure_year,current_landfill_status,landfill_design_cap,waste_in_place_tons,waste_in_place_year,lfg_collection_system,lfg_collected_mmscfd,lfg_collected_year,latitude,longitude
185,Other,,City of Paso Robles LF,"San Luis Obispo, CA","City of Paso Robles, CA",1970,2051,Open,,870000,,Yes,,,35.663,-120.532
186,Other,,City of Redding/Benton LF,"Shasta, CA","City of Redding, CA",,1990,Closed,1000000,982000,,Yes,,,40.5689,-122.4112
187,With Project,1006960,City of Sacramento Landfill,"Sacramento, CA","City of Sacramento, CA",1968,1994,Closed,,3900000,,Yes,1.16,2012,38.58583,-121.46389
188,With Project,1000339,City of Santa Cruz SLF,"Santa Cruz, CA","City of Santa Cruz, CA",1960,2061,Open,6290595,3024722,2009,Yes,0.801,2012,36.97602,-122.10608
189,Other,1004828,City of Ukiah Solid Waste Disposal Site,"Mendocino, CA","City of Ukiah, CA",1955,2001,Closed,,2200000,1998,No,,,39.16944,-123.16417
190,Other,1004364,City of Watsonville Landfill,"Santa Cruz, CA","City of Watsonville, CA",1963,2019,Open,,1381200,2016,Yes,0.316,2012,36.914,-121.824
191,Other,,City of Willits Disposal Site,"Mendocino, CA",City of Willits,,1997,Closed,,250000,,No,,,39.4,-123.35
193,Other,1006557,Clover Flat Landfill,"Napa, CA",Clover Flat Landfill,2001,2053,Open,2886830,,,Yes,0.387,2012,38.5848,-122.534
194,Other,,Cloverdale LF,"Sonoma, CA",Louisiana-Pacific Corporation,,,Closed,,157380,,No,,,38.78165,-123.00076
195,Other,1005654,Coachella Valley Disposal Site,"Riverside, CA","Riverside County, CA",1972,1997,Closed,3238000,3238000,,Yes,0.462,2012,33.725,-116.142
196,Other,,Coalinga Disposal Site,"Fresno, CA",Chevron USA,1956,2009,Closed,,580350,,No,,,36.10972,-120.35918
197,Other,,Coastal LF,"Ventura, CA","Ventura County, CA",1982,1989,Closed,,3300000,,Yes,1.8,,34.23029,-119.21414
198,With Project,1006322,Cold Canyon LF Solid Waste Disposal Site,"San Luis Obispo, CA","Waste Connections, Inc.",1965,2017,Closed,12902208,5991139,2016,Yes,1.18,2012,35.1873,-120.59579
200,With Project,1004691,Colton Sanitary Landfill,"San Bernardino, CA","San Bernardino County, CA",1965,2014,Closed,9297897,9271115,2014,Yes,1.66,2012,34.04556,-117.33861
201,Other,1005955,Contra Costa SLF,"Contra Costa, CA","TRC Solutions, Inc.",1949,1992,Closed,4578840,4153922,1992,Yes,0.217,2012,37.9875,-121.84528
202,With Project,1000369,Corona Disposal Site,"Riverside, CA","Riverside County, CA",1960,1986,Closed,4000000,4000000,,Yes,0.281,2012,33.8674,-117.5395
203,Other,,Corral Hollow LF,"San Joaquin, CA","San Joaquin County, CA",1955,1995,Closed,,885000,,Yes,,,37.67,-121.45667
204,Other,1002104,Coyote Canyon SLF,"Orange, CA","County of Orange - OC Waste & Recycling, CA",1963,1990,Closed,39000000,38999999,1990,Yes,5.69,2012,33.6267,-117.8312
205,Other,1004419,Crazy Horse Landfill,"Monterey, CA","Salinas Valley Solid Waste Authority, CA",1934,2009,Closed,2064000,1642549,2002,Yes,2.05,2012,36.7946,-121.61511
206,Other,,Crescent City SLF,"Del Norte, CA",County of Del Norte,1977,2006,Closed,482866,482866,2006,No,,,41.79083,-124.21861
207,Other,1007736,Cummings Road Landfill,"Humboldt, CA","Humboldt Waste Management Authority, CA",1935,1998,Closed,1825212,1825212,,Yes,0.314,2012,40.76167,-124.08833
208,Candidate,1007794,CWMI - KHF (MSW Landfill B-19),"Kings, CA","Waste Management, Inc.",1998,2086,Open,18734615,3734464,2016,Yes,0.657,2012,36.1003959,-120.0202964
209,Other,1003800,Davis Street LF,"Alameda, CA","Waste Management, Inc.",1942,1980,Closed,7801335,,,Yes,0.414,2012,37.7144,-122.1948
210,Other,,Deep Springs College Disposal Site,"Inyo, CA",Deep Springs College,,1992,Closed,,,,No,,,37.36404,-117.98711
211,Other,,Desert Center LF,"Riverside, CA","Riverside County, CA",,2087,Open,,23000,,Yes,,,33.77754,-115.40867
213,Other,,Dixon Pit LF,"Sacramento, CA","West Coast Building - Wrecking, Inc.",,1999,Closed,,214800,,Yes,,,38.416667,-121.366667
214,Other,1000367,Double Butte Disposal Site,"Riverside, CA","Riverside County, CA",1973,1994,Closed,2100000,2100000,,Yes,0.254,2012,33.72,-117.10833
216,Other,,E.O.D. #2,"Kern, CA",Cook,,,Open,,,,No,,,35.65,-117.666667
217,Other,,Eagleville Disposal Site,"Modoc, CA",United States Bureau of Land Management,,1993,Closed,,10000,,No,,,41.31667,-120.04167
218,Other,,Earlimart Disposal Site,"Tulare, CA","Tulare County, CA",,1998,Closed,,782400,,Yes,,,35.883334,-119.266667
219,Other,,Eastern Regional LF,"Placer, CA",United States Forest Service,,1994,Closed,,500000,,Yes,,,39.3525,-120.1898
220,Candidate,1011676,Eastlake SLF,"Lake, CA","Lake County, CA",1972,2030,Open,2300394,2159904,2016,No,,,38.95333,-122.60083
221,Other,1000368,Edom Hill Disposal Site,"Riverside, CA","Riverside County, CA",1967,2004,Closed,6800000,6100000,2002,Yes,1.12,2012,33.88141,-116.44632
222,Other,,Edwards Air Force Base-Main Base LF,"Kern, CA",United States Air Force,,2021,Open,,300000,2004,No,,,34.95605,-117.95627
223,Other,1007693,El Sobrante SLF,"Riverside, CA","Waste Management, Inc.",1986,2073,Open,212782500,40877548,2016,Yes,5.27,2012,33.79923,-117.46786
224,Other,,Evans Road LF,"Colusa, CA","Colusa County, CA",,1995,Closed,,200000,,No,,,39.067,-122.175
225,Other,,Exeter Disposal Site,"Tulare, CA","Tulare County, CA",,2005,Closed,,500000,2004,No,,,36.22956,-119.15245
226,Candidate,1003202,Fairmead Solid Waste Disposal Site,"Madera, CA","Madera County, CA",1958,2033,Open,5978001,4468046,2016,Yes,0.575,2012,37.06468,-120.1991
227,Candidate,1003814,Fink Road LF,"Stanislaus, CA","Stanislaus County, CA",1970,2028,Open,9519129,3721403,2016,Yes,0.504,2012,37.38816,-121.13633
228,With Project,1007198,"Foothill Sanitary Landfill, Inc.","San Joaquin, CA","San Joaquin County, CA",1965,2092,Open,92061782,5021581,2016,Yes,2.16,2012,38.0371,-120.94489
229,Other,,Fort Bidwell LF,"Modoc, CA","Modoc County, CA",,1993,Closed,,10000,,No,,,37.883334,-121.266667
230,Other,,Fort Irwin Sanitary Landfill,"San Bernardino, CA",United States Army,,2405,Open,,7577621,,No,,,35.26589,-116.66233
231,With Project,1004010,Forward Landfill,"San Joaquin, CA","Republic Services, Inc.",1973,2035,Open,32882079,25146139,2016,Yes,2.76,2012,37.874624,-121.1833
232,Other,,Foxen Canyon SLF,"Santa Barbara, CA",Chamberlin Estate,,2003,Closed,,120000,,Yes,,,37.95,-121.283334
233,With Project,1002107,Frank R. Bowerman SLF,"Orange, CA","County of Orange - OC Waste & Recycling, CA",1990,2053,Open,154306409,49853854,2016,Yes,10.75,2014,33.72053,-117.70947
234,Other,,French Camp Landfill,"San Joaquin, CA","Republic Services, Inc.",,1999,Closed,,400000,,No,,,37.916,-121.295
235,Other,,Furnace Creek,"Inyo, CA",Death Valley National Monument,,1996,Closed,,50000,,No,,,36.47,-116.853
236,Other,1003813,Geer Road SLF,"Stanislaus, CA","Stanislaus County, CA",1970,1990,Closed,,4984513,1990,Yes,0.801,2012,37.62609,-120.85
237,Other,,Glenn County LF Site,"Glenn, CA","Glenn County, CA",,2021,Open,,540000,,No,,,39.634,-122.285
238,Other,,Glennville LF,"Kern, CA",United States Forest Service,,1991,Closed,,50000,,No,,,35.71993,-118.68282
239,Other,,Goldstone Deep Space Comm Complex,"San Bernardino, CA",,,1998,Closed,,25000,,No,,,35.3054,-116.79893
240,Other,,Gopher Hill SLF,"Plumas, CA",Plumas National Forest Quincy Road,,2002,Closed,,283500,,No,,,39.954,-121.031
241,Other,1007837,Guadalupe Rubbish Disposal Facility,"Santa Clara, CA","Waste Management, Inc.",1929,2050,Open,28243689,9424831,2016,Yes,2.89,2012,37.21139,-121.90139
243,Other,1011716,Hanford SLF,"Kings, CA",Kings Waste and Recycling Authority,1973,1998,Closed,2250385,2250385,1997,Yes,,,36.30907,-119.59573
244,Other,,Happy Camp Solid Waste Disposal site,"Siskiyou, CA",Landfill Owner of Happy Camp Solid Waste Disposal site,,1996,Closed,,10000,,No,,,41.78,-123.4
245,Other,,Harney Lane SLF,"San Joaquin, CA","San Joaquin County, CA",1948,1992,Closed,,4320000,,Yes,,,38.0994,-121.1364
247,Other,,Healdsburg Landfill,"Sonoma, CA","Sonoma County, CA",1971,1989,Closed,,900000,,Yes,0.39312,,38.6508,-122.8685
248,Other,,Herlong Disposal Facility,"Lassen, CA",United States Bureau of Land Management,1980,2000,Closed,,50000,,No,,,40.13669,-120.17019
249,Other,,Hesperia Refuse Disposal Site,"San Bernardino, CA","San Bernardino County, CA",1964,1997,Closed,852000,639000,,Yes,0.16,,34.346,-117.349
250,Other,1006079,Highgrove SLF,"Riverside, CA","Riverside County, CA",1947,1998,Closed,3493000,3493000,1998,Yes,0.4,2012,34.00667,-117.28667
251,Other,1006216,Highway 59 Landfill,"Merced, CA","Merced County Regional Waste Authority, CA",1973,2060,Open,26160250,6548855,2016,Yes,1.32,2012,37.39389,-120.49778
252,Other,,Hillside Solid Waste Disposal Site,"San Mateo, CA","Cypress-Amloc Land Company, Inc.",1968,2007,Closed,,930000,2002,Yes,,,37.683,-122.444
253,Other,,Holtville Disposal Site,"Imperial, CA",United States Bureau of Land Management,,2012,Closed,,150000,2004,No,,,32.816667,-115.383334
254,Other,,Hot Spa Cut & Fill Site,"Imperial, CA","Imperial County, CA",1954,2027,Open,,50000,2004,No,,,33.41528,-115.67611
255,Other,,Hotelling Gulch Disposal Site,"Siskiyou, CA",United States Department of Agriculture; United States Forest Service,,1995,Closed,,10000,,No,,,41.23833,-123.27389
256,Other,,Imperial Waste Site,"Imperial, CA",Imperial Irrigation District,,2022,Open,,171000,,No,,,32.84552,-115.68112
257,Other,,Independence Disposal Site,"Inyo, CA",Los Angeles Department of Water & Power (LADWP),,2038,Open,,100000,2004,No,,,36.7884,-118.17586
258,With Project,,Industry Hills Sheraton Resort,"Los Angeles, CA",City of Industry,1960,1977,Closed,,3600000,,Yes,0.38,2003,34.021,-117.92778
259,Other,,"Intermountain Landfill, Inc.","Shasta, CA","Intermountain Landfill, Inc.",,1993,Closed,,40500,,No,,,33.433334,-114.75
261,Other,1002886,John Smith Road Class III Landfill,"San Benito, CA","San Benito County Public Works, CA",1968,2028,Open,3130537,666000,2002,Yes,0.322,2012,36.825,-121.324
262,With Project,1007128,Johnson Canyon SLF,"Monterey, CA","Salinas Valley Solid Waste Authority, CA",1976,2042,Open,13836696,2673255,2016,Yes,0.702,2012,36.57584,-121.38022
263,Other,,Jolon Road SLF,"Monterey, CA",Carmel Marina Corp,,1997,Closed,,169200,,No,,,36.16683,-121.13061
264,With Project,1004011,Keller Canyon LF,"Contra Costa, CA","Republic Services, Inc.",1992,2082,Open,70000000,17641658,2016,Yes,3.31,2012,38.00472,-121.93611
265,Other,,Kelly Gulch Solid Waste Disposal Site,"Siskiyou, CA",United States Department of Agriculture; United States Forest Service,,1994,Closed,,10000,,No,,,41.32667,-123.154
266,Other,,Kennedy Meadows Disposal Site,"Tulare, CA",United States Bureau of Land Management,,2002,Closed,,25000,,No,,,35.991,-118.105
267,Other,,Kern Valley LF,"Kern, CA",United States Bureau of Land Management,,1997,Closed,,276507,,No,,,35.75,-118.433334
268,With Project,1004037,Kiefer LF,"Sacramento, CA","Sacramento County, CA",1967,2064,Open,117420098,28685615,2016,Yes,10.368,2014,38.52099,-121.1989
269,Candidate,1007817,Kirby Canyon Recycling & Disposal Facility,"Santa Clara, CA","Waste Management, Inc.",1986,2063,Open,27646291,10120318,2016,Yes,2.62,2012,37.18507,-121.67109
270,Other,,L & D Landfill Company,"Sacramento, CA",Fruitridge Road Land Company,1977,2023,Open,3618633,1453000,2002,Yes,0.504,2011,38.528,-121.378
271,Other,,Lake City LF,"Modoc, CA",United States Bureau of Land Management,,1993,Closed,,10000,,No,,,41.631,-120.116
272,Candidate,1002134,Lamb Canyon Sanitary Landfill,"Riverside, CA","Riverside County, CA",1970,2040,Open,24255000,10239965,2016,Yes,1.24,2012,33.88389,-116.99722
273,Candidate,1007841,Lancaster Landfill,"Los Angeles, CA","Waste Management, Inc.",1954,2071,Open,21777428,7698390,2016,Yes,1.03,2012,34.7474,-118.1165
274,Other,1007424,Landers Sanitary Landfill,"San Bernardino, CA","San Bernardino County, CA",1965,2018,Open,2621424,2448815,2016,No,,,34.24048,-116.38152
275,Candidate,1002224,Las Pulgas LF,"San Diego, CA",United States Marine Corps,1972,2058,Open,6378954.75,2037619.55,2016,No,,,33.36444,-117.41921
276,Other,,Lava Beds Disposal Site,"Siskiyou, CA",United States Department of the Interior - National Park Service,,1995,Closed,,10000,,No,,,41.7,-121.46667
278,Other,,Lebec SLF,"Kern, CA","Kern County, CA",,1991,Closed,,584435,,No,,,34.82697,-118.88773
279,Other,,Lenwood-Hinkley Refuse Disposal Site,"San Bernardino, CA","San Bernardino County, CA",1965,1997,Closed,540000,405000,,No,,,34.9355,-117.1183
280,Other,,Lewis Road SLF,"Monterey, CA","Monterey County, CA",,2002,Closed,,443400,,Yes,,,36.88083,-121.69944
281,Other,,Lone Pine Disposal Site,"Inyo, CA",Los Angeles Department of Water & Power (LADWP),,2087,Open,,100000,2004,No,,,36.59421,-118.03495
282,With Project,1006107,Lopez Canyon SLF,"Los Angeles, CA","City of Los Angeles, Bureau of Sanitation, CA",1975,1996,Closed,,19234966,1996,Yes,2.79,2012,34.29028,-118.39111
283,Other,,Lost Hills SLF,"Kern, CA","Kern County, CA",1973,,Closed,830800,82140,2009,No,,,35.6311,-119.75732
285,Other,,Loyalton LF,"Sierra, CA","Sierra County, CA",,2032,Open,,56400,,No,,,39.67,-120.22
286,Other,,Lucerne Valley Disposal Site,"San Bernardino, CA","San Bernardino County, CA",1965,1993,Closed,60000,60000,,No,,,34.4307,-116.8542
287,Other,,Madeline Disposal Facility,"Lassen, CA",United States Bureau of Land Management,,1997,Closed,,10000,,No,,,41.05,-120.45333
288,Other,,Mariposa County SLF,"Mariposa, CA","Mariposa County, CA",,2081,Open,,720000,,No,,,37.50432,-120.0058
289,Other,,Marsh Road LF,"San Mateo, CA","City of Menlo Park, CA",1960,1982,Closed,,5000000,,Yes,1.15,,37.4929,-122.1759
290,Other,,McCloud Community Services District LF,"Siskiyou, CA",McCloud Community Services District,,1995,Closed,,50000,,No,,,41.242,-122.132
291,Other,,McCourtney LF,"Nevada, CA",County of Nevada,1972,1992,Closed,,2182268,,Yes,0.13968,,39.1726,-121.1121
292,Other,,McFarland-Delano SLF,"Kern, CA","Kern County, CA",1971,1992,Closed,1117000,1117000,,Yes,0.086,,35.741,-119.254
293,Other,1000366,Mead Valley Disposal Site,"Riverside, CA","Riverside County, CA",1974,1997,Closed,2312837,2312837,,Yes,0.317,2012,33.7957,-117.2832
294,Other,,Mecca LF II,"Riverside, CA","Riverside County, CA",,,Open,,72000,,No,,,33.57194,-116.00306
296,With Project,1003918,Mid-Valley Sanitary LF,"San Bernardino, CA","San Bernardino County, CA",1958,2033,Open,37200000,20078935,2016,Yes,3.43,2012,34.14333,-117.43
297,With Project,1006293,Milliken SLF,"San Bernardino, CA","San Bernardino County, CA",1957,1999,Closed,17400000,13973400,,Yes,2.24,2012,34.0365,-117.5583
298,Other,,Mission Canyon Landfill,"Los Angeles, CA","Sanitation Districts of Los Angeles County, CA",1960,1965,Closed,5300000,5300000,,Yes,0.07,,34.1102,-118.4824
299,With Project,,Mission Hills,"Los Angeles, CA",American Golf Corp.; Barclay Hollander,1960,1976,Closed,,21310000,,Yes,4,,34.1073,-118.4876
300,Other,,Mojave-Rosamond SLF,"Kern, CA","Kern County, CA",1973,2123,Open,45000000,979470,2009,No,,,34.99336,-118.13881
302,With Project,1004550,Monterey Peninsula SLF,"Monterey, CA","Monterey Regional Waste Management District, CA",1966,2161,Open,53892405,10584355,2016,Yes,1.92,2012,36.71333,-121.76667
303,Other,,Morongo Disposal Site,"San Bernardino, CA","San Bernardino County, CA",1979,1998,Closed,43194,43194,,No,,,34.0557,-116.558
305,With Project,1004052,Neal Road LF,"Butte, CA","Butte County, CA",1970,2047,Open,15797641,5684178,2016,Yes,0.747,2012,39.67425,-121.72929
306,Other,,Needles Solid Waste Disposal Site,"San Bernardino, CA","San Bernardino County, CA",1967,1994,Closed,226944,226944,,No,,,34.8526,-114.631
307,Other,,New Cuyama SLF,"Santa Barbara, CA","Santa Barbara County, CA",,1997,Closed,,50000,,No,,,34.95,-119.7
308,Other,,Newberry Springs Disposal Site,"San Bernardino, CA","San Bernardino County, CA",1965,1991,Closed,13751,13751,,No,,,34.791,-116.66
309,With Project,1006179,"Newby Island SLF Phases I, II, & III","Santa Clara, CA","Republic Services, Inc.",1930,2041,Open,71887304,26889796,2016,Yes,3.43,2012,37.45485,-121.92611
310,Other,,Niland Cut & Fill Site,"Imperial, CA","Imperial County, CA",1941,2041,Open,,50000,2004,No,,,33.27111,-115.49167
311,Other,,North Belridge Solid Waste Disposal Site,"Kern, CA",Aera Energy LLC,,2007,Closed,,39761,,No,,,35.52613,-119.78603
312,Candidate,1007197,North County SLF,"San Joaquin, CA","San Joaquin County, CA",1991,2070,Open,31599373,3629303,2016,Yes,0.397,2012,38.097,-121.10194
313,Other,,Oasis Disposal Site,"Riverside, CA","Riverside County, CA",,2019,Open,,100000,2004,No,,,33.439,-116.0815
314,Other,,Ocotillo Cut & Fill,"Imperial, CA",United States Bureau of Land Management,,2005,Closed,,25000,2004,No,,,32.733334,-116
315,With Project,1002320,Olinda Alpha SLF,"Orange, CA","County of Orange - OC Waste & Recycling, CA",1960,2021,Open,96736556,78794208,2016,Yes,13.824,2014,33.93361,-117.84361
316,With Project,,"Operating Industries, Inc. LF (OII)","Los Angeles, CA","Operating Industries, Inc.",1948,1984,Closed,,29920000,,Yes,3.34,,34.031,-118.108
317,With Project,,Orange Avenue Disposal Inc.,"Fresno, CA",Caglia Environmental,1941,2007,Closed,,1000000,2004,Yes,0.216,2016,36.68694,-119.76306
318,Other,,Oro Grande LF,"San Bernardino, CA",Riverside Cement Co.,,1993,Closed,,3000000,,No,,,34.634,-117.307
320,With Project,1008030,Otay LF,"San Diego, CA","Republic Services, Inc.",1963,2033,Open,49177036,36606425,2016,Yes,7.89,2012,32.604,-117.005
322,With Project,1007112,Ox Mountain SLF,"San Mateo, CA","Republic Services, Inc.",1977,2046,Open,41729278,31612797,2016,Yes,5.27,2012,37.499,-122.412
323,With Project,1005865,Palo Alto LF,"Santa Clara, CA","City of Palo Alto, CA",1955,2011,Closed,5825175,5825175,2011,Yes,0.282,2012,37.45,-122.105
324,Other,,Palo Verde Cut & Fill Site,"Imperial, CA",United States Bureau of Land Management,,2013,Closed,,50000,2004,No,,,33.35,-118.316667
325,Other,1003361,Palos Verdes Landfill,"Los Angeles, CA","Sanitation Districts of Los Angeles County, CA",1952,1980,Closed,,24048240,1980,Yes,8.17,2012,33.79189,-118.35243
326,Other,,Penrose LF,"Los Angeles, CA","Los Angeles By-Products, Inc.",1960,1988,Closed,,9000000,,Yes,3,,34.2186,-118.3816
327,Other,,Phelan Refuse Disposal Site,"San Bernardino, CA","San Bernardino County, CA",1956,1997,Closed,594000,445500,,No,,,34.4343,-117.6075
330,Other,,Ponderosa SLF,"Yuba, CA",United States Bureau of Land Management,,1994,Closed,,4128000,,No,,,39.46667,-121.29
331,Other,,Portola LF,"Plumas, CA","City of Portola, CA",,2002,Closed,,135000,,No,,,39.824,-120.449
332,With Project,1007345,Potrero Hills SLF,"Solano, CA","Waste Connections, Inc.",1986,2080,Open,16327795,15990030,2016,Yes,5.04,2012,38.22333,-121.97778
333,With Project,1002106,Prima Deshecha SLF,"Orange, CA","County of Orange - OC Waste & Recycling, CA",1976,2067,Open,118444466,22300000,2012,Yes,4.32,2017,33.48654,-117.62491
334,With Project,1003199,Puente Hills LF,"Los Angeles, CA","Sanitation Districts of Los Angeles County, CA",1957,2013,Closed,142400000,142250454,2013,Yes,45.05,2012,34.02033,-118.00604
335,Other,,Pumice Valley SLF,"Mono, CA",,,2036,Open,,55800,,No,,,37.90694,-119.06528
336,Other,1004243,Ramona Avenue Landfill,"San Diego, CA","Republic Services, Inc.",1962,2009,Closed,,947800,2002,Yes,0.589,2012,33.085,-116.863
337,Other,,Ravendale Disposal,"Lassen, CA","Lassen Regional Solid Waste Management Authority, CA",,1997,Closed,,11616,,No,,,40.79222,-120.37083
338,With Project,1005042,Recology Hay Road LF,"Solano, CA",Recology,1964,2046,Open,18943155,5068208,2016,Yes,0.803,2012,38.31497,-121.83164
339,With Project,1004745,Recology Ostrom Road LF,"Yuba, CA",Recology,1995,2096,Open,27610724,4585278,2016,Yes,,,39.07171,-121.3925
340,Other,1005041,Recology Pacheco Pass LF,"Santa Clara, CA",Recology,1950,2007,Closed,,1316000,2004,Yes,0.679,2012,36.99577,-121.4789
341,Other,1004959,Recology Yuba-Sutter Landfill,"Yuba, CA",Recology,1967,1996,Closed,,2200000,,Yes,0.481,2012,39.1671,-121.55708
